Date,pos,neg,neutral,compound,pos',neg',neutral',compound'
2009/7/21,0.03604,0.12728,0.83668,-0.211176,-0.0598,-0.07704,0.13688,0.023504
2009/7/22,0.06216,0.13884,0.799,-0.12522,0.02612,0.01156,-0.03768,0.085956
2009/7/23,0.04836,0.18004,0.7716,-0.289028,-0.0138,0.0412,-0.0274,-0.163808
2009/7/24,0.053,0.13008,0.81692,-0.164248,0.00464,-0.04996,0.04532,0.12478
2009/7/27,0.07396,0.2084,0.71756,-0.284964,0.02096,0.07832,-0.09936,-0.120716
2009/7/28,0.06856,0.1904,0.74112,-0.300288,-0.0054,-0.018,0.02356,-0.015324
2009/7/29,0.07304,0.1856,0.74144,-0.31262,0.00448,-0.0048,0.00032,-0.012332
2009/7/30,0.0658,0.19724,0.737,-0.265136,-0.00724,0.01164,-0.00444,0.047484
2009/7/31,0.09096,0.16892,0.74008,-0.22312,0.02516,-0.02832,0.00308,0.042016
2009/8/3,0.06928,0.1054,0.82536,-0.138668,-0.02168,-0.06352,0.08528,0.084452
2009/8/4,0.026,0.16252,0.81148,-0.3101,-0.04328,0.05712,-0.01388,-0.171432
2009/8/5,0.0436,0.1526,0.8038,-0.23992,0.0176,-0.00992,-0.00768,0.07018
2009/8/6,0.05384,0.12468,0.82152,-0.178052,0.01024,-0.02792,0.01772,0.061868
2009/8/7,0.08056,0.21384,0.70556,-0.295884,0.02672,0.08916,-0.11596,-0.117832
2009/8/10,0.05192,0.16684,0.7812,-0.242556,-0.02864,-0.047,0.07564,0.053328
2009/8/11,0.05664,0.20576,0.73756,-0.278824,0.00472,0.03892,-0.04364,-0.036268
2009/8/12,0.06072,0.1232,0.81608,-0.075436,0.00408,-0.08256,0.07852,0.203388
2009/8/13,0.05688,0.11696,0.8262,-0.205424,-0.00384,-0.00624,0.01012,-0.129988
2009/8/14,0.05188,0.14468,0.80344,-0.181096,-0.005,0.02772,-0.02276,0.024328
2009/8/17,0.0536,0.2126,0.7338,-0.29982,0.00172,0.06792,-0.06964,-0.118724
2009/8/18,0.05948,0.12412,0.81648,-0.15656,0.00588,-0.08848,0.08268,0.14326
2009/8/19,0.06816,0.16664,0.76528,-0.260832,0.00868,0.04252,-0.0512,-0.104272
2009/8/20,0.0806,0.11032,0.80904,-0.108648,0.01244,-0.05632,0.04376,0.152184
2009/8/21,0.0704,0.20048,0.72896,-0.37504,-0.0102,0.09016,-0.08008,-0.266392
2009/8/24,0.055,0.1202,0.82484,-0.172796,-0.0154,-0.08028,0.09588,0.202244
2009/8/25,0.08284,0.175,0.74224,-0.2,0.02784,0.0548,-0.0826,-0.027204
2009/8/26,0.0744,0.16076,0.7648,-0.13976,-0.00844,-0.01424,0.02256,0.06024
2009/8/27,0.06184,0.17088,0.76736,-0.278644,-0.01256,0.01012,0.00256,-0.138884
2009/8/28,0.062,0.14852,0.7894,-0.155236,0.00016,-0.02236,0.02204,0.123408
2009/8/31,0.0674,0.17636,0.75632,-0.260068,0.0054,0.02784,-0.03308,-0.104832
2009/9/1,0.0454,0.1066,0.84796,-0.181712,-0.022,-0.06976,0.09164,0.078356
2009/9/2,0.13772,0.17996,0.68236,-0.108916,0.09232,0.07336,-0.1656,0.072796
2009/9/3,0.05672,0.16212,0.78116,-0.176668,-0.081,-0.01784,0.0988,-0.067752
2009/9/4,0.06964,0.15344,0.77696,-0.175416,0.01292,-0.00868,-0.0042,0.001252
2009/9/8,0.07268,0.16128,0.76596,-0.183104,0.00304,0.00784,-0.011,-0.007688
2009/9/9,0.05116,0.1128,0.83604,-0.170552,-0.02152,-0.04848,0.07008,0.012552
2009/9/10,0.0556,0.13344,0.81104,-0.26098,0.00444,0.02064,-0.025,-0.090428
2009/9/11,0.08228,0.16428,0.75352,-0.180928,0.02668,0.03084,-0.05752,0.080052
2009/9/14,0.1132,0.10264,0.78412,-0.112512,0.03092,-0.06164,0.0306,0.068416
2009/9/15,0.10228,0.105,0.79272,0.019432,-0.01092,0.00236,0.0086,0.131944
