Date,pos,neg,neutral,compound
2010/2/4,0.11438,0.16304,0.72245,-0.18358
2010/2/5,0.097818,0.12116,0.78093,-0.086938
2010/2/8,0.074673,0.18309,0.74233,-0.29904
2010/2/9,0.0464,0.13204,0.82156,-0.27112
2010/2/10,0.10704,0.20604,0.68693,-0.30376
2010/2/11,0.052164,0.1168,0.83104,-0.15586
2010/2/12,0.067255,0.22433,0.70842,-0.27923
2010/2/16,0.0174,0.19285,0.78975,-0.39225
2010/2/17,0.060364,0.18358,0.75622,-0.38396
2010/2/18,0.043745,0.16089,0.79536,-0.2655
2010/2/19,0.14665,0.16033,0.69304,-0.31668
2010/2/22,0.060273,0.13865,0.80107,-0.16734
2010/2/23,0.092564,0.18227,0.72507,-0.38758
2010/2/24,0.065,0.13976,0.79524,-0.2273
2010/2/25,0.047564,0.079473,0.87296,-0.060205
2010/2/26,0.060927,0.10005,0.83898,0.025158
2010/3/1,0.050273,0.1984,0.75142,-0.3161
2010/3/2,0.067491,0.17218,0.76015,-0.24524
2010/3/3,0.17782,0.23304,0.58904,-0.068318
2010/3/4,0.079109,0.14987,0.77087,-0.11809
2010/3/5,0.035909,0.19851,0.76545,-0.20122
2010/3/8,0.024618,0.17431,0.80107,-0.31616
2010/3/9,0.10233,0.11093,0.78658,-0.035633
2010/3/10,0.14555,0.13702,0.71744,-0.036329
2010/3/11,0.039018,0.14482,0.81616,-0.19669
2010/3/12,0.0564,0.11204,0.83175,-0.065224
2010/3/15,0.083418,0.16125,0.75551,-0.1785
2010/3/16,0.084727,0.12951,0.78582,-0.17912
2010/3/17,0.085945,0.1506,0.76345,-0.044256
2010/3/18,0.075073,0.14025,0.78465,-0.17737
2010/3/19,0.082127,0.13718,0.78069,-0.21845
2010/3/22,0.042818,0.20942,0.7476,-0.47717
2010/3/23,0.055564,0.12475,0.81962,-0.15436
2010/3/24,0.064091,0.21971,0.71625,-0.51456
2010/3/25,0.062764,0.14589,0.79102,-0.1308
2010/3/26,0.029418,0.31002,0.66056,-0.51168
2010/3/29,0.048473,0.17876,0.77276,-0.35433
2010/3/30,0.11967,0.1044,0.77598,0.0083945
2010/3/31,0.062018,0.18024,0.75791,-0.30199
2010/4/1,0.12369,0.20189,0.67449,-0.1983
2010/4/5,0.045218,0.12469,0.83004,-0.21502
2010/4/6,0.0099091,0.21836,0.77173,-0.44156
2010/4/7,0.091873,0.18793,0.72035,-0.28968
2010/4/8,0.055236,0.30375,0.6408,-0.42201
2010/4/9,0.093727,0.16371,0.74253,-0.1023
2010/4/12,0.057473,0.1084,0.83413,-0.15822
2010/4/13,0.086745,0.13695,0.77638,-0.026498
2010/4/14,0.099055,0.15605,0.74507,-0.12434
